dateupload,id,latitude,longitude,owner,tags,title,url_sq
1439864280,20644310746,24.434575,-81.93782,52272069@N00,,,https://farm1.staticflickr.com/637/20644310746_622ff7ace8_m.jpg
1301069573,5558960552,24.433333,-81.942167,46225217@N00,,,https://farm6.staticflickr.com/5149/5558960552_80af5c31d6_m.jpg
1501413716,36126587031,24.453888,-81.866667,85100010@N07,,Floride Juillet 2017,https://farm5.staticflickr.com/4321/36126587031_8b39ceb267_m.jpg
1501413696,35428118854,24.453333,-81.874445,85100010@N07,,Floride Juillet 2017,https://farm5.staticflickr.com/4293/35428118854_149d284f09_m.jpg
1489578931,33325912801,24.454405,-81.875214,21467315@N00,1853 19thcenturylighthouses atlanticocean editorialphotography florida floridakeys floridakeyslighthouses floridakeysoffshorereeflighthouses floridareeflighthouses floridareeflights floridalighthouses floridays gulfofmexico keywest lowerkeys michaelapancier michaelpancierphotography offshorelighthouses reeflights rockkeychannel sandkeychannel sandkeylight sandkeylighthouse southflorida thekeys commercialphotography fineartphotographer landscapephotographer lighthouses naturephotographer travelphotography wwwmichaelpancierphotographycom unitedstates us,Sand Key Lighthouse,https://farm3.staticflickr.com/2818/33325912801_b7acc8db54_m.jpg
1486922166,32821462606,24.465899,-81.870284,12276024@N04,,Snokeling Trip Sand Key Lighthouse (5),https://farm3.staticflickr.com/2731/32821462606_9e40188d80_m.jpg
1486922165,32862586235,24.465899,-81.870284,12276024@N04,,Snokeling Trip Sand Key Lighthouse (6),https://farm3.staticflickr.com/2887/32862586235_64552f6686_m.jpg
1486922165,32862578985,24.470283,-81.866517,12276024@N04,,Snokeling Trip Sand Key Lighthouse (7),https://farm1.staticflickr.com/336/32862578985_b316f1f885_m.jpg
1485718020,31782309273,24.452733,-81.879484,12276024@N04,,Sand Key Lighthouse Snorkeling,https://farm1.staticflickr.com/387/31782309273_0319dc091d_m.jpg
1485718019,32553677926,24.452733,-81.879484,12276024@N04,,Sand Key Lighthouse Snorkeling (2),https://farm1.staticflickr.com/555/32553677926_0eb598f242_m.jpg
1485718019,32441388752,24.45255,-81.879767,12276024@N04,,Sand Key Lighthouse Snorkeling (3),https://farm1.staticflickr.com/448/32441388752_42b4e69475_m.jpg
1485718019,31750455794,24.474033,-81.866334,12276024@N04,,Sand Key Lighthouse Snorkeling (4),https://farm1.staticflickr.com/371/31750455794_0f70d7fab6_m.jpg
1485718011,32553637746,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (6),https://farm1.staticflickr.com/517/32553637746_e7566561b3_m.jpg
1485718011,32214954590,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (7),https://farm1.staticflickr.com/566/32214954590_b7c34a242a_m.jpg
1485718010,32553632806,24.454216,-81.879067,12276024@N04,,Sand Key Lighthouse Snorkeling Trip (8),https://farm1.staticflickr.com/621/32553632806_b9c4224a8b_m.jpg
1471224399,28956945616,24.488419,-81.89097,146198299@N03,,Sailboat,https://farm8.staticflickr.com/7787/28956945616_910c9ec8fc_m.jpg
1385923686,11156593346,24.447233,-81.882064,80715367@N00,,DSCN0179,https://farm4.staticflickr.com/3744/11156593346_bfff997db3_m.jpg
1372252866,9141693633,24.451861,-81.8784,92400821@N06,flickrandroidapp:filter=none,,https://farm8.staticflickr.com/7303/9141693633_7194513332_m.jpg
1372252858,9141692967,24.451861,-81.8784,92400821@N06,flickrandroidapp:filter=none,,https://farm3.staticflickr.com/2867/9141692967_a27836bee4_m.jpg
1371584645,9077393109,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys greatbarracuda sandkey sphyraenabarracuda,Giant Barracuda,https://farm8.staticflickr.com/7455/9077393109_48e5a733b7_m.jpg
1371584608,9079613878,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports floridakeys sandkey purpleseafan gorgoniaventalina,Scuba Snap,https://farm6.staticflickr.com/5477/9079613878_598dcf3b84_m.jpg
1371584571,9079609292,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys wrasse staghorncoral sandkey labridae purpleseafan acroporacervicornis gorgoniaventalina yellowwrasse halichoere,Yellow Swirls,https://farm6.staticflickr.com/5548/9079609292_d4c93a579e_m.jpg
1371584531,9077378681,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey caribbeanreefshark carcharhinusperezii,Caribbean Reef Shark,https://farm4.staticflickr.com/3710/9077378681_b8833a2e17_m.jpg
1371584507,9077375805,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports porcupinefish floridakeys wrasse sandkey labridae diodontidae purpleseafan gorgoniaventalina yellowwrasse halichoere,Big Eyes,https://farm4.staticflickr.com/3730/9077375805_1afa78c67a_m.jpg
1371584483,9077373081,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports floridakeys sandkey,Bubbles,https://farm6.staticflickr.com/5475/9077373081_8dcfbf9d55_m.jpg
1371584448,9079594804,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey,"My, what big teeth you have!",https://farm6.staticflickr.com/5459/9079594804_0110659b09_m.jpg
1371584408,9077364241,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sandkey,Sunbeams,https://farm8.staticflickr.com/7374/9077364241_65aa16ba3f_m.jpg
1371584384,9079586756,24.452777,-81.8775,66288373@N05,florida ryan scuba diving scubadiving keywest watersports colette floridakeys sandkey,Diving Buddies,https://farm6.staticflickr.com/5503/9079586756_a5b82569dd_m.jpg
1371584356,9079583384,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys parrotfish sandkey rainbowparrotfish scarusguacamaia scaridae,Rainbow Parrotfish,https://farm4.staticflickr.com/3712/9079583384_1791cec185_m.jpg
1371584322,9079578810,24.452777,-81.8775,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sergeantmajor abudefduf staghorncoral sandkey acroporacervicornis,Pillar of Light,https://farm3.staticflickr.com/2883/9079578810_5716aee691_m.jpg
1371571669,9075840813,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys sergeantmajor abudefduf queenangelfish sandkey gopro holacanthusciliaris hero3black,A beautiful Queen angelfish,https://farm4.staticflickr.com/3717/9075840813_ddeff18b15_m.jpg
1371571625,9078062232,24.452697,-81.877563,66288373@N05,fauna florida jim scuba diving scubadiving keywest watersports eel animalia floridakeys morayeel gymnothoraxfunebris greenmoray actinopterygii sandkey gopro hero3black,Whoa!,https://farm4.staticflickr.com/3678/9078062232_b5effc7e3f_m.jpg
1371571605,9075832777,24.452697,-81.877563,66288373@N05,florida jim scuba diving scubadiving keywest watersports floridakeys sandkey gopro hero3black,Just Me,https://farm8.staticflickr.com/7366/9075832777_576241b32a_m.jpg
1371571566,9075827981,24.452697,-81.877563,66288373@N05,florida crab scuba diving scubadiving keywest watersports floridakeys sandkey gopro brachyura spinyspidercrab coralcrab channelclingingcrab mithraxspinosissimus hero3black westindianspidercrab reefspidercrab,Monster Crab,https://farm3.staticflickr.com/2828/9075827981_6a68e67e8a_m.jpg
1371571536,9078051300,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports powerboat floridakeys searay sandkey gopro hero3black silkysmoothiv,Topside,https://farm3.staticflickr.com/2839/9078051300_9b9eef9d17_m.jpg
1371571511,9075821185,24.452697,-81.877563,66288373@N05,florida scuba diving scubadiving keywest watersports floridakeys trumpetfish sandkey gopro aulostomusmaculatus hero3black,Trumpetfish,https://farm3.staticflickr.com/2892/9075821185_6950a88e28_m.jpg
1367887287,8716300668,24.452833,-81.876834,73832263@N00,uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm8.staticflickr.com/7428/8716300668_9e59cedb49_m.jpg
1367887239,8716298822,24.454833,-81.875667,73832263@N00,uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm8.staticflickr.com/7427/8716298822_fa4cd88eeb_m.jpg
1367780528,8710502571,24.453374,-81.877528,73832263@N00,sandkeylighthouse uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm9.staticflickr.com/8136/8710502571_7a87f1781c_m.jpg
1367780291,8710489863,24.453374,-81.877528,73832263@N00,sandkeylighthouse uploaded:by=flickrmobile flickriosapp:filter=nofilter,,https://farm9.staticflickr.com/8556/8710489863_206cb34526_m.jpg
1343148394,7637928668,24.478211,-81.865837,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7108/7637928668_c5540fc661_m.jpg
1343148324,7637921322,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7272/7637921322_38f72ae2f7_m.jpg
1343148236,7637912934,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8004/7637912934_ebf011ca54_m.jpg
1343148160,7637905640,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8001/7637905640_a14dfb0628_m.jpg
1343148084,7637898216,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8027/7637898216_f4889efa3f_m.jpg
1343147978,7637887690,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8013/7637887690_d127850ba0_m.jpg
1343147909,7637881136,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8019/7637881136_29d78331bc_m.jpg
1343147826,7637873024,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7246/7637873024_498821946d_m.jpg
1343147735,7637864750,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7128/7637864750_a3efc18011_m.jpg
1343147641,7637855676,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8283/7637855676_ffb287f7de_m.jpg
1343147566,7637848320,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8292/7637848320_a5ea9e786a_m.jpg
1343147413,7637832918,24.452561,-81.879928,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7139/7637832918_957047a39d_m.jpg
1343147337,7637825530,24.453277,-81.881242,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7111/7637825530_68ebe5cfb7_m.jpg
1343147280,7637820448,24.453277,-81.881242,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8145/7637820448_d94d227867_m.jpg
1343147211,7637814418,24.453277,-81.881242,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7111/7637814418_5d2cd6454c_m.jpg
1343147134,7637807610,24.453277,-81.881242,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7276/7637807610_f12b57dd9a_m.jpg
1343147068,7637801418,24.453277,-81.881242,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8001/7637801418_abf76a6811_m.jpg
1343146997,7637795256,24.467499,-81.880128,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8284/7637795256_39a595f742_m.jpg
1343146918,7637788390,24.467499,-81.880128,79939076@N02,,Schnorcheltour Key West,https://farm8.staticflickr.com/7280/7637788390_153901b379_m.jpg
1343146821,7637779286,24.472399,-81.877198,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8164/7637779286_6e57f1aabf_m.jpg
1343146732,7637771106,24.472399,-81.877198,79939076@N02,,Schnorcheltour Key West,https://farm9.staticflickr.com/8167/7637771106_ddc8c68455_m.jpg
1343089200,7633532388,24.452561,-81.879928,79939076@N02,,PICT0011,https://farm9.staticflickr.com/8147/7633532388_426b226bfd_m.jpg
1343089201,7633531706,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7262/7633531706_586886ef1f_m.jpg
1343089202,7633531156,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7110/7633531156_eebe76a892_m.jpg
1343089204,7633529862,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7111/7633529862_ae4139d27f_m.jpg
1343089205,7633528738,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8163/7633528738_3cffa1ea57_m.jpg
1343089206,7633527804,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8021/7633527804_73026926b0_m.jpg
1343089208,7633526830,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7273/7633526830_515b978b63_m.jpg
1343089210,7633503278,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7270/7633503278_dec8372365_m.jpg
1343089211,7633501826,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8017/7633501826_c231444449_m.jpg
1343089212,7633499052,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7253/7633499052_1b24c84a6d_m.jpg
1343089213,7633496988,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8164/7633496988_a62a7f9562_m.jpg
1343089214,7633495344,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7251/7633495344_a183b38d9d_m.jpg
1343089215,7633493526,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8290/7633493526_67eaa454d8_m.jpg
1343089216,7633492006,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7120/7633492006_e9f2acaaf5_m.jpg
1343089217,7633490774,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7274/7633490774_da8602634e_m.jpg
1343089218,7633488984,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8024/7633488984_1ca932ef02_m.jpg
1343089219,7633487408,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7246/7633487408_476cd14461_m.jpg
1343089220,7633485698,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7135/7633485698_a12841234c_m.jpg
1343089221,7633483776,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8426/7633483776_860a0477f6_m.jpg
1343089222,7633480380,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8421/7633480380_f97a6e396e_m.jpg
1343089223,7633478484,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7111/7633478484_5c703fa38c_m.jpg
1343089224,7633477118,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8290/7633477118_fa811515f3_m.jpg
1343089225,7633473386,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7110/7633473386_a1dfc5b511_m.jpg
1343089226,7633470864,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8148/7633470864_5fae590845_m.jpg
1343089227,7633469618,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8423/7633469618_bc0594007b_m.jpg
1343089228,7633468204,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8022/7633468204_2c90e83a95_m.jpg
1343089229,7633466736,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8167/7633466736_32fedec3ce_m.jpg
1343089230,7633463386,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8434/7633463386_b62d49b400_m.jpg
1343089231,7633460782,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8158/7633460782_3ae00cf797_m.jpg
1343089232,7633458980,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8010/7633458980_343845a0c0_m.jpg
1343089233,7633457098,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8291/7633457098_28fe22e6c9_m.jpg
1343089236,7633448562,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8158/7633448562_5d5b47f84a_m.jpg
1343089237,7633447840,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8016/7633447840_6e9ce789af_m.jpg
1343089238,7633445778,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8144/7633445778_fae468e15d_m.jpg
1343089239,7633431422,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7246/7633431422_1e307e39fb_m.jpg
1343089240,7633427078,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm8.staticflickr.com/7274/7633427078_278b2b1369_m.jpg
1343089193,7633538180,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8153/7633538180_332a96d440_m.jpg
1343089194,7633537684,24.452561,-81.879928,79939076@N02,,PICT0005,https://farm9.staticflickr.com/8433/7633537684_0fa273bf2a_m.jpg
1343089195,7633536998,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8148/7633536998_52abd083bf_m.jpg
1343089196,7633536310,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8014/7633536310_41e53d1993_m.jpg
1343089198,7633534464,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8165/7633534464_fabdcb6aa7_m.jpg
1343089199,7633533626,24.452561,-81.879928,79939076@N02,,Schnorcheln Key West,https://farm9.staticflickr.com/8284/7633533626_d5218d0092_m.jpg
1343086175,7633111762,24.473869,-81.868728,79939076@N02,,Key West- Schnorcheln,https://farm9.staticflickr.com/8153/7633111762_fd149c3651_m.jpg
1343086176,7633107320,24.473869,-81.868728,79939076@N02,,S1790031,https://farm9.staticflickr.com/8159/7633107320_28761492ee_m.jpg
1332258027,6854109938,24.452333,-81.8795,87652302@N00,,,https://farm7.staticflickr.com/6227/6854109938_5ee021190b_m.jpg
1332258016,6854109452,24.4525,-81.879833,87652302@N00,,,https://farm8.staticflickr.com/7036/6854109452_86b14a0277_m.jpg
1332257992,6854108284,24.4525,-81.879833,87652302@N00,,,https://farm7.staticflickr.com/6057/6854108284_191ac4d3f1_m.jpg
1332257980,6854107770,24.452333,-81.879833,87652302@N00,,,https://farm8.staticflickr.com/7124/6854107770_16a9d7368e_m.jpg
1332257969,7000230973,24.452333,-81.879833,87652302@N00,,,https://farm8.staticflickr.com/7066/7000230973_cc4701ec88_m.jpg
1298168715,5460330746,24.488833,-81.883667,57103410@N04,,,https://farm6.staticflickr.com/5299/5460330746_8e2c41c9ee_m.jpg
1293058446,5283614871,24.450863,-81.875475,14479922@N00,west keys key florida,DSC_1603,https://farm6.staticflickr.com/5121/5283614871_8a82708443_m.jpg
1243822640,3583267727,24.455605,-81.873411,85979850@N00,face snorkel mask florida keywest ewen,Ewen tests his mask,https://farm4.staticflickr.com/3611/3583267727_c56a91e2d1_m.jpg
1243822603,3584072828,24.455605,-81.873411,85979850@N00,florida keywest paraglider nutter,Paraglider buzzing us,https://farm4.staticflickr.com/3626/3584072828_c8b93bed41_m.jpg
1243822574,3583264223,24.455605,-81.873411,85979850@N00,boat snorkel florida keywest sandkey,The next wave,https://farm3.staticflickr.com/2427/3583264223_91a3a76b69_m.jpg
1243822530,3583262025,24.455605,-81.873411,85979850@N00,sea water florida keywest reef,View from the other side,https://farm3.staticflickr.com/2463/3583262025_9368f9a07a_m.jpg
1243822475,3584066262,24.455605,-81.873411,85979850@N00,lighthouse florida keywest sandkey sandkeylighthouse,Sand Key Lighthouse,https://farm4.staticflickr.com/3629/3584066262_6ecb555911_m.jpg
1243822451,3583258005,24.455605,-81.873411,85979850@N00,boat florida keywest donabel,Donabel works on her tan,https://farm3.staticflickr.com/2422/3583258005_7bf9035250_m.jpg
1243822394,3583255091,24.455605,-81.873411,85979850@N00,ship florida cruiseship keywest,Cruise Ships at Key West,https://farm4.staticflickr.com/3362/3583255091_8d723238fb_m.jpg
1243563673,3574244241,24.456168,-81.866643,85979850@N00,ocean water boat florida yacht catamaran keywest atlanticocean snorkeler,Pacific Fury,https://farm3.staticflickr.com/2476/3574244241_15534e4d56_m.jpg
1243563657,3575052082,24.456168,-81.866643,85979850@N00,underwater snorkel florida keywest ewen mobydork,Greater blobby tourist fish,https://farm4.staticflickr.com/3607/3575052082_e4387d2261_m.jpg
1243563644,3574243199,24.456168,-81.866643,85979850@N00,underwater snorkel florida keywest,Fan coral,https://farm4.staticflickr.com/3227/3574243199_21518e518a_m.jpg
1243563629,3574242577,24.456168,-81.866643,85979850@N00,underwater florida snorkelling keywest,More fish,https://farm4.staticflickr.com/3662/3574242577_b8061cd4d6_m.jpg
1243563614,3574242057,24.456168,-81.866643,85979850@N00,fish underwater florida snorkelling keywest,Coral Muncher,https://farm3.staticflickr.com/2475/3574242057_7cffbb56af_m.jpg
1243563597,3574241497,24.456168,-81.866643,85979850@N00,blue fish underwater florida snorkelling keywest,Blue fish,https://farm4.staticflickr.com/3377/3574241497_1100beae29_m.jpg
1243563578,3574240881,24.456168,-81.866643,85979850@N00,fish underwater florida snorkelling keywest,Fish hiding under coral,https://farm3.staticflickr.com/2480/3574240881_6ea411e599_m.jpg
